"Gridcode","species"
101640,"Rhinoceros unicornis"
101640,"Myotis nipalensis"
101640,"Barbastella leucomelas"
101640,"Myotis muricola"
101640,"Cynopterus sphinx"
101640,"Pipistrellus coromandra"
101640,"Ovis ammon"
101640,"Phaiomys leucurus"
101640,"Equus kiang"
101640,"Ochotona macrotis"
101640,"Ochotona roylii"
101640,"Lepus oiostolus"
101640,"Mustela altaica"
101640,"Vulpes ferrilata"
101640,"Panthera uncia"
101640,"Pseudois nayaur"
101640,"Cuon alpinus"
101640,"Barbastella darjelingensis"
101640,"Plecotus wardi"
101640,"Alticola stoliczkanus"
101640,"Urocricetus alticola"
101640,"Marmota himalayana"
101640,"Rattus tanezumi"
101640,"Rattus pyctoris"
101640,"Lynx lynx"
101640,"Ochotona curzoniae"
101640,"Ursus thibetanus"
101640,"Otocolobus manul"
101640,"Vulpes vulpes"
101640,"Mus musculus"
101640,"Prionailurus bengalensis"
101640,"Catopuma temminckii"
101640,"Canis lupus"
101640,"Canis lupus ssp. chanco"
101640,"Martes foina"
101640,"Paguma larvata"
101641,"Macaca assamensis"
101641,"Macaca assamensis ssp. pelops"
101641,"Rhinoceros unicornis"
101641,"Myotis nipalensis"
101641,"Barbastella leucomelas"
101641,"Myotis muricola"
101641,"Cynopterus sphinx"
101641,"Ovis ammon"
101641,"Phaiomys leucurus"
101641,"Equus kiang"
101641,"Ochotona macrotis"
101641,"Ochotona roylii"
101641,"Lepus oiostolus"
101641,"Mustela altaica"
101641,"Vulpes ferrilata"
101641,"Panthera uncia"
101641,"Pseudois nayaur"
101641,"Cuon alpinus"
101641,"Barbastella darjelingensis"
101641,"Plecotus wardi"
101641,"Alticola stoliczkanus"
101641,"Urocricetus alticola"
101641,"Marmota himalayana"
101641,"Rattus tanezumi"
101641,"Rattus pyctoris"
101641,"Ursus arctos"
101641,"Lynx lynx"
101641,"Ochotona curzoniae"
101641,"Ursus thibetanus"
101641,"Otocolobus manul"
101641,"Vulpes vulpes"
101641,"Mus musculus"
101641,"Prionailurus bengalensis"
101641,"Catopuma temminckii"
101641,"Canis lupus"
101641,"Canis lupus ssp. chanco"
101641,"Martes foina"
101641,"Paguma larvata"
101617,"Semnopithecus schistaceus"
101617,"Rhinoceros unicornis"
101617,"Rhinolophus ferrumequinum"
101617,"Myotis nipalensis"
101617,"Barbastella leucomelas"
101617,"Myotis muricola"
101617,"Murina huttoni"
101617,"Cynopterus sphinx"
101617,"Pipistrellus javanicus"
101617,"Pipistrellus coromandra"
101617,"Hemitragus jemlahicus"
101617,"Suncus etruscus"
101617,"Episoriculus caudatus"
101617,"Soriculus nigrescens"
101617,"Equus kiang"
101617,"Ochotona macrotis"
101617,"Ochotona roylii"
101617,"Mustela altaica"
101617,"Vulpes ferrilata"
101617,"Panthera uncia"
101617,"Moschus leucogaster"
101617,"Pseudois nayaur"
101617,"Barbastella darjelingensis"
101617,"Plecotus wardi"
101617,"Plecotus homochrous"
101617,"Myotis formosus"
101617,"Bandicota bengalensis"
101617,"Bandicota indica"
101617,"Urocricetus alticola"
101617,"Marmota himalayana"
101617,"Mus saxicola"
101617,"Niviventer fulvescens"
101617,"Rattus tanezumi"
101617,"Rattus pyctoris"
101617,"Lynx lynx"
101617,"Crocidura attenuata"
101617,"Capricornis sumatraensis"
101617,"Ursus thibetanus"
101617,"Otocolobus manul"
101617,"Apodemus pallipes"
101617,"Vulpes vulpes"
101617,"Mus musculus"
101617,"Felis chaus"
101617,"Prionailurus bengalensis"
101617,"Catopuma temminckii"
101617,"Canis lupus"
101617,"Canis lupus ssp. chanco"
101617,"Martes foina"
101617,"Mustela kathiah"
101617,"Mustela sibirica"
101617,"Paguma larvata"
101617,"Paradoxurus hermaphroditus"
101617,"Panthera pardus"
101618,"Semnopithecus schistaceus"
101618,"Macaca assamensis"
101618,"Macaca assamensis ssp. pelops"
101618,"Rhinoceros unicornis"
101618,"Rhinolophus ferrumequinum"
101618,"Myotis nipalensis"
