"Gridcode","species"
101621,"Drosera peltata"
101621,"Vandellia micrantha"
101621,"Hemisteptia lyrata"
101621,"Nymphaea pubescens"
101621,"Limnophila rugosa"
101621,"Hydrolea zeylanica"
101621,"Aeschynomene aspera"
101621,"Caesulia axillaris"
101621,"Hygrophila polysperma"
101621,"Hydrobryum griffithii"
101621,"Eclipta angustata"
101621,"Limnophila micrantha"
101621,"Bacopa monnieri"
101621,"Medicago sativa"
101621,"Pistacia khinjuk"
101621,"Podophyllum hexandrum"
101621,"Limnophila indica"
101621,"Grangea maderaspatana"
101621,"Sesbania bispinosa"
101621,"Nardostachys jatamansi"
101621,"Centella asiatica"
101621,"Alternanthera sessilis"
101621,"Aeschynomene indica"
101621,"Nymphaea nouchali"
101621,"Arnebia benthamii"
101621,"Rheum australe"
101622,"Lindernia procumbens"
101622,"Limnophila sessiliflora"
101622,"Bonnaya antipoda"
101622,"Oenanthe javanica"
101622,"Drosera peltata"
101622,"Vandellia micrantha"
101622,"Hemisteptia lyrata"
101622,"Nymphaea pubescens"
101622,"Limnophila rugosa"
101622,"Hydrolea zeylanica"
101622,"Aeschynomene aspera"
101622,"Caesulia axillaris"
101622,"Hygrophila polysperma"
101622,"Hydrobryum griffithii"
101622,"Eclipta angustata"
101622,"Limnophila micrantha"
101622,"Bacopa monnieri"
101622,"Medicago sativa"
101622,"Pistacia khinjuk"
101622,"Podophyllum hexandrum"
101622,"Limnophila indica"
101622,"Grangea maderaspatana"
101622,"Sesbania bispinosa"
101622,"Nardostachys jatamansi"
101622,"Centella asiatica"
101622,"Alternanthera sessilis"
101622,"Aeschynomene indica"
101622,"Nymphaea nouchali"
101622,"Arnebia benthamii"
101622,"Rheum australe"
101623,"Lindernia procumbens"
101623,"Limnophila sessiliflora"
101623,"Bonnaya antipoda"
101623,"Oenanthe javanica"
101623,"Drosera peltata"
101623,"Vandellia micrantha"
101623,"Hemisteptia lyrata"
101623,"Nymphaea pubescens"
101623,"Limnophila rugosa"
101623,"Hydrolea zeylanica"
101623,"Aeschynomene aspera"
101623,"Caesulia axillaris"
101623,"Hygrophila polysperma"
101623,"Hydrobryum griffithii"
101623,"Eclipta angustata"
101623,"Limnophila micrantha"
101623,"Bacopa monnieri"
101623,"Medicago sativa"
101623,"Pistacia khinjuk"
101623,"Podophyllum hexandrum"
101623,"Limnophila indica"
101623,"Grangea maderaspatana"
101623,"Sesbania bispinosa"
101623,"Nardostachys jatamansi"
101623,"Centella asiatica"
101623,"Alternanthera sessilis"
101623,"Aeschynomene indica"
101623,"Nymphaea nouchali"
101623,"Arnebia benthamii"
101623,"Rheum australe"
101624,"Lindernia procumbens"
101624,"Limnophila sessiliflora"
101624,"Bonnaya antipoda"
101624,"Oenanthe javanica"
101624,"Drosera peltata"
101624,"Vandellia micrantha"
101624,"Hemisteptia lyrata"
101624,"Nymphaea pubescens"
101624,"Limnophila rugosa"
101624,"Hydrolea zeylanica"
101624,"Aeschynomene aspera"
101624,"Caesulia axillaris"
101624,"Hygrophila polysperma"
101624,"Hydrobryum griffithii"
101624,"Eclipta angustata"
101624,"Limnophila micrantha"
101624,"Bacopa monnieri"
101624,"Medicago sativa"
101624,"Pistacia khinjuk"
101624,"Podophyllum hexandrum"
101624,"Limnophila indica"
101624,"Grangea maderaspatana"
101624,"Sesbania bispinosa"
101624,"Nardostachys jatamansi"
101624,"Centella asiatica"
101624,"Alternanthera sessilis"
101624,"Aeschynomene indica"
101624,"Nymphaea nouchali"
101624,"Arnebia benthamii"
101624,"Rheum australe"
101625,"Lindernia procumbens"
101625,"Limnophila sessiliflora"
101625,"Bonnaya antipoda"
101625,"Oenanthe javanica"
101625,"Drosera peltata"
101625,"Vandellia micrantha"
101625,"Hemisteptia lyrata"
101625,"Nymphaea pubescens"
101625,"Limnophila rugosa"
101625,"Hydrolea zeylanica"
101625,"Aeschynomene aspera"
101625,"Caesulia axillaris"
101625,"Hygrophila polysperma"
101625,"Hydrobryum griffithii"
101625,"Eclipta angustata"
101625,"Limnophila micrantha"
101625,"Bacopa monnieri"
101625,"Medicago sativa"
101625,"Pistacia khinjuk"
101625,"Podophyllum hexandrum"
101625,"Limnophila indica"
101625,"Grangea maderaspatana"
101625,"Sesbania bispinosa"
101625,"Nardostachys jatamansi"
101625,"Centella asiatica"
101625,"Alternanthera sessilis"
101625,"Aeschynomene indica"
101625,"Nymphaea nouchali"
101625,"Arnebia benthamii"
101625,"Rheum australe"
101626,"Lindernia procumbens"
101626,"Limnophila sessiliflora"
101626,"Bonnaya antipoda"
101626,"Oenanthe javanica"
101626,"Drosera peltata"
101626,"Vandellia micrantha"
101626,"Hemisteptia lyrata"
101626,"Nymphaea pubescens"
101626,"Limnophila rugosa"
101626,"Hydrolea zeylanica"
101626,"Aeschynomene aspera"
101626,"Caesulia axillaris"
101626,"Hygrophila polysperma"
101626,"Hydrobryum griffithii"
101626,"Eclipta angustata"
101626,"Limnophila micrantha"
101626,"Bacopa monnieri"
101626,"Medicago sativa"
101626,"Pistacia khinjuk"
101626,"Podophyllum hexandrum"
101626,"Limnophila indica"
101626,"Grangea maderaspatana"
101626,"Sesbania bispinosa"
101626,"Nardostachys jatamansi"
101626,"Centella asiatica"
101626,"Alternanthera sessilis"
101626,"Aeschynomene indica"
101626,"Nymphaea nouchali"
101626,"Rheum australe"
101627,"Lindernia procumbens"
101627,"Limnophila sessiliflora"
101627,"Bonnaya antipoda"
101627,"Oenanthe javanica"
101627,"Drosera peltata"
101627,"Vandellia micrantha"
101627,"Hemisteptia lyrata"
101627,"Nymphaea pubescens"
101627,"Limnophila rugosa"
